text,date,article_link
"Turkey Insurance to bring new dynamism, contribute to financial markets, Erdoğan says","Sep 07, 2020",https://www.dailysabah.com/business/economy/turkey-insurance-to-bring-new-dynamism-contribute-to-financial-markets-erdogan-says
Air Serbia to operate more flights to Istanbul,"Sep 04, 2020",https://www.dailysabah.com/business/transportation/air-serbia-to-operate-more-flights-to-istanbul
Traveling to Turkey? Precautions to take for a COVID-19-free vacation,"Sep 02, 2020",https://www.dailysabah.com/life/travel/traveling-to-turkey-precautions-to-take-for-a-covid-19-free-vacation
"Turkish Airlines cuts wages to overcome pandemic, avoiding layoffs","Sep 01, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-cuts-wages-to-overcome-pandemic-avoiding-layoffs
Turkey to promote nationalization of civil aviation workforce,"Aug 23, 2020",https://www.dailysabah.com/business/turkey-to-promote-nationalization-of-civil-aviation-workforce/news
"Pandemic radically affected diplomatic ties, FM Çavuşoğlu says","Aug 21, 2020",https://www.dailysabah.com/politics/diplomacy/pandemic-radically-affected-diplomatic-ties-fm-cavusoglu-says
"Turkish Airlines resumes flights to more locations, including Iran","Aug 17, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-resumes-flights-to-more-locations-including-iran
"Over 23,000 Russians arrive in Antalya on 1st day of flight resumption","Aug 11, 2020",https://www.dailysabah.com/business/tourism/over-23000-russians-arrive-in-antalya-on-1st-day-of-flight-resumption
Long wait ends as 1st Russian tourist groups arrive at Turkish coastal resorts,"Aug 10, 2020",https://www.dailysabah.com/business/tourism/long-wait-ends-as-1st-russian-tourist-groups-arrive-at-turkish-coastal-resorts
1st flight from Russia since virus outbreak lands in Istanbul,"Aug 01, 2020",https://www.dailysabah.com/business/tourism/1st-flight-from-russia-since-virus-outbreak-lands-in-istanbul
Istanbul-born digital marketing startup Insider secures $32M fund from Silicon Valley,"Jul 24, 2020",https://www.dailysabah.com/business/tech/istanbul-born-digital-marketing-startup-insider-secures-32m-fund-from-silicon-valley
Number of Russian tourists arriving in Turkey could hit 4 million,"Jul 22, 2020",https://www.dailysabah.com/business/tourism/number-of-russian-tourists-arriving-in-turkey-could-hit-4-million
"Turkey determined to strengthen cooperation with Africa, FM Çavuşoğlu says","Jul 20, 2020",https://www.dailysabah.com/politics/diplomacy/turkey-determined-to-strengthen-cooperation-with-africa-fm-cavusoglu-says
"Turkey manages to reduce daily COVID-19 cases below 1,000 again","Jul 15, 2020",https://www.dailysabah.com/turkey/turkey-manages-to-reduce-daily-covid-19-cases-below-1000-again/news
Dozens of charter flights with British tourists to arrive in Turkey as of July 15,"Jul 10, 2020",https://www.dailysabah.com/business/tourism/dozens-of-charter-flights-with-british-tourists-to-arrive-in-turkey-as-of-july-15
Turkish Cargo transports 1 out of every 20 airfreight shipments worldwide,"Jul 08, 2020",https://www.dailysabah.com/business/transportation/turkish-cargo-transports-1-out-of-every-20-airfreight-shipments-worldwide
"SunExpress resumes flights from London to Antalya, Gaziantep","Jul 07, 2020",https://www.dailysabah.com/business/transportation/sunexpress-resumes-flights-from-london-to-antalya-gaziantep
Turkish Airlines resumes Indonesia flights,"Jul 05, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-resumes-indonesia-flights
Oil company TÜPRAŞ again tops Turkey's Fortune 500 list,"Jul 02, 2020",https://www.dailysabah.com/business/oil-company-tupras-again-tops-turkeys-fortune-500-list/news
"'No doubt’ Turkish tourism set to bounce back from virus crisis, SunExpress CEO says","Jun 30, 2020",https://www.dailysabah.com/business/tourism/no-doubt-turkish-tourism-set-to-bounce-back-from-virus-crisis-sunexpress-ceo-says
Companies traded on Borsa Istanbul post TL 15.4 billion net profit in Q1,"Jun 28, 2020",https://www.dailysabah.com/business/finance/companies-traded-on-borsa-istanbul-post-tl-154-billion-net-profit-in-q1
"Social distancing: Pictures showing stark difference between Turkey, UK beaches hit social media","Jun 25, 2020",https://www.dailysabah.com/business/tourism/social-distancing-pictures-showing-stark-difference-between-turkey-uk-beaches-hit-social-media
Basketball: Fenerbahçe parts ways with Obradovic,"Jun 24, 2020",https://www.dailysabah.com/sports/basketball/basketball-fenerbahce-parts-ways-with-obradovic
